Code,Destination,Connect Cost(BRL),Included Seconds,Per Minute Cost(BRL),Initial Increment,Increment,Rate Group,Status,Created Date
55789,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55796,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55797,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55798,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55799,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55806,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55807,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55808,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55809,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55816,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55817,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55818,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55819,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55826,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55827,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55828,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55829,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55836,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55837,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55838,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55839,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55846,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55847,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55848,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55849,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55856,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55857,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55858,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55859,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55866,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55867,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55868,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55869,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55876,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55877,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55878,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55879,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55886,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55887,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55888,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55889,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55896,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55897,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55898,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55899,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55906,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55907,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55908,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55909,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55916,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55917,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55918,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55919,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55926,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55927,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55928,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55929,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55936,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55937,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55938,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55939,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55946,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55947,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55948,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55949,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55956,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55957,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55958,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55959,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55966,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55967,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
