Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55863282,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833481,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55543393,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913829,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753627,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913831,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333732,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55963233,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55933564,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55673239,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55673239,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413871,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55343324,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55433212,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753365,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773489,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733272,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773618,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493524,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493524,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983485,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983485,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273759,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55653304,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753294,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55863252,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813709,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55623464,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55623459,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55623464,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643489,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273769,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663505,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643489,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733662,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55843359,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813681,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333611,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55623475,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983472,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55543348,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55543348,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473624,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55853376,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55163378,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55163314,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55323464,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993534,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55653348,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793277,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743699,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193091,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193652,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193653,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193653,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193652,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55353834,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333754,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873775,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883427,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663549,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273745,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743691,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663576,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193649,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55193642,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493339,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493339,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55443576,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55192154,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.09,30,6,,55,085
55193824,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.09,30,6,,55,085
55193924,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.09,30,6,,55,085
55193824,Demais Capitais Estaduais - Fixo,0,4,0.09,30,6,,55,085
55193924,Demais Capitais Estaduais - Fixo,0,4,0.09,30,6,,55,085
55143765,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55142150,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55192150,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
